date,weekday,restaurant,menu_text,is_closed
2026-06-18,목,상록원3층식당(집밥·한그릇),휴무,True
2026-06-19,금,경영관 D-Flex식당,"[일반(뚝배기)] (뚝)왕만두김치전골 / [중식 A코너 6,500원] 쌀밥 명란계란찜 사각어묵볶음 깍두기 / [중식 특별코너] 육쌈쫄면 / [중식 B코너 7,500원] 날치알김가루양념밥 갈비만두찜 배추김치 사이다 / (뚝)왕만두김치전골 / [석식 6,500원] 쌀밥 명란계란찜 사각어묵볶음 깍두기",False
2026-06-19,금,누리터식당(일산캠퍼스),"조식뷔페 구분 누리밥상 더진국 팬앤누들 중식 김치소불고기솥밥 (배추,고추분:국내산/소:호주산) 비비고왕교자*초간장 6,500원 꼬치어묵유부우동 제육주먹밥 (돼지:국내산) 5,500원 ** 중식 6월 23일까지 ** 석식 ** 석식 미운영 **",False
2026-06-19,금,상록원1층식당(솥앤누들),"구분 메뉴 중·석식 11:00~18:00 삼겹살김치철판 6000원 치즈불닭철판 7000원 데리야끼치킨솥밥 5700원 우삼겹솥밥 6500원 콘치즈솥밥 5000원 냉모밀 5500원 냉모밀*돈가스set 6800원 냉모밀*알밥set 6800원 삼겹-돼지:오스트리아산/닭:국내산/소:미국산/스팸-돼지:국내산,외국산/돈가스-돼지:국내산/쌀:국내산/배추김치-배추,고춧가루:국내산",False
2026-06-19,금,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-19,금,상록원3층식당(집밥·한그릇),휴무,True
2026-06-20,토,누리터식당(일산캠퍼스),휴무,True
2026-06-20,토,상록원1층식당(솥앤누들),휴무,True
2026-06-20,토,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-20,토,상록원3층식당(집밥·한그릇),휴무,True
2026-06-21,일,누리터식당(일산캠퍼스),휴무,True
2026-06-21,일,상록원1층식당(솥앤누들),휴무,True
2026-06-21,일,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-21,일,상록원3층식당(집밥·한그릇),휴무,True
2026-06-22,월,누리터식당(일산캠퍼스),휴무,True
2026-06-22,월,상록원1층식당(솥앤누들),휴무,True
2026-06-22,월,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-22,월,상록원3층식당(집밥·한그릇),휴무,True
2026-06-23,화,누리터식당(일산캠퍼스),휴무,True
2026-06-23,화,상록원1층식당(솥앤누들),휴무,True
2026-06-23,화,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-23,화,상록원3층식당(집밥·한그릇),휴무,True
2026-06-24,수,누리터식당(일산캠퍼스),휴무,True
2026-06-24,수,상록원1층식당(솥앤누들),휴무,True
2026-06-24,수,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-24,수,상록원3층식당(집밥·한그릇),휴무,True
2026-06-25,목,누리터식당(일산캠퍼스),휴무,True
2026-06-25,목,상록원1층식당(솥앤누들),휴무,True
2026-06-25,목,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-25,목,상록원3층식당(집밥·한그릇),휴무,True
2026-06-26,금,누리터식당(일산캠퍼스),휴무,True
2026-06-26,금,상록원1층식당(솥앤누들),휴무,True
2026-06-26,금,상록원2층식당(백반·일품·양식·뚝배기),휴무,True
2026-06-26,금,상록원3층식당(집밥·한그릇),휴무,True
